name,comment_id,reply_name,reply_text,source,text
两性顾问-道道团队,4087875648281080,-,-,vivo智能手机,终于见了一回中国的威力了
爱情三十六计688,4087875631100610,李晶磊,然后中国员工大量失业,荣耀6,"回复<a href='http://m.weibo.cn/n/李晶磊'>@李晶磊</a>:啊～～怎么这么多脑残啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_numa-90f7682472.png"" style=""width:1em;height:1em;;""></span>。"
日本武道馆,4087875563442624,爸爸麻麻的小棉袄,回复<a href='http://m.weibo.cn/n/日本武道馆'>@日本武道馆</a>:美国不是以大欺小？韩国不部署萨德，中国什么时候拿韩国开刀了？什么东西都是有因有果的，你的意思中国光看着韩国和美国部署萨德而没有行动？,iPhone 6,回复<a href='http://m.weibo.cn/n/爸爸麻麻的小棉袄'>@爸爸麻麻的小棉袄</a>:我的意思是别人韩国想部署什么东西是别人的自由，你又有什么好说的呢？就算别人专门买来监视你的又能怎样？我绝对有理由相信中国早就有更加精密的东西把韩国看光光了 当你在研发东风北斗买萨姆的时候别人为什么没抵制你？你这样搞谁还敢跟你玩？
葉先生老是发呆,4087875551486429,来说出我的微博名,"评论有毒。跟前几天完全不是一个风向，都不管什么国家安全就记得惦记原乐天员工了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>乐天关闭这么久了我没看见任何员工因失业闹事，只看见一群键盘侠逼逼叨叨<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",小米手机,回复<a href='http://m.weibo.cn/n/来说出我的微博名'>@来说出我的微博名</a>:所以这两天评论画风变得这么厉害，明显有团队收钱办事了
我就是不会改真名,4087875455165323,实事谈弹堂,回复<a href='http://m.weibo.cn/n/我就是不会改真名'>@我就是不会改真名</a>:清朝完了你是少了一根毛，还是生不出仔，跟你有半毛钱关系吗，,iPhone 7,回复<a href='http://m.weibo.cn/n/实事谈弹堂'>@实事谈弹堂</a>:你鸦片吃多了
美国驻吉布提大使馆,4087875442450716,杨梵希全国总代,失业的中国人可以再找工作，远比韩狗赚着中国人的钱，买着萨德对准中国要强的多，那些员工的工资影响的了韩国花钱整萨德对准中国吗？但一天1千多亿韩元损失是个小小的打击吧！个人意见，喷子狗千万别点我回复我！,三星GALAXY A,"回复<a href='http://m.weibo.cn/n/杨梵希全国总代'>@杨梵希全国总代</a>:微商！骗小粉红有一套嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zan-6e88e6f51d.png"" style=""width:1em;height:1em;;""></span>"
Wuli-张先生,4087875437642793,猫巷里的树语,希望政府能安顿中国员工吧。。,iPhone 7 Plus,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:楼主有毒吧！
南塘穷书生,4087875433778812,-,-,Android客户端,菲利普的上任真不一定是好事！
半夜来看星星,4087875413027220,-,-,荣耀7 世界有点不同,要知道乐天不是来帮助中国人就业的，是商人，是来赚钱的。超市的工作流动性大，一家没了换一家不困难吧
爱情三十六计688,4087875362604444,穿啥裤子都往下掉,真是一帮蠢货，乐天关门你们高兴，那关门之后的中国员工呢？你们掏钱负责安顿吗？,荣耀6,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你的脑袋里面是装的屎吗？
芒果分我一半168,4087875295576976,-,-,Android客户端,为什么没有人记得三星了？三星对韩国不是一般重要啊！咋们干死三星得了
芥末酱酱酱,4087875228681317,小镸聿,回复<a href='http://m.weibo.cn/n/芥末酱酱酱'>@芥末酱酱酱</a>:对啊，得先抵制蠢货，找美国说理的不是我们，是你。一切的导火索又不是我们中国人，我们中国地大物博的，没有工作岗位了？你是被下岗了？你知道乐天的中国员工又喜欢在挣中国人钱再打中国的企业下工作？,iPhone 6s,回复<a href='http://m.weibo.cn/n/小镸聿'>@小镸聿</a>:再说你一小号 出来蹦哒 不就是赤裸裸的水军吗？好玩吗？
韶和大人,4087875211592657,凯乾福,小粉红，“国家会安排下岗职工的”。虽然国家并没有表这个态。,OPPO R9s,回复<a href='http://m.weibo.cn/n/凯乾福'>@凯乾福</a>:下岗职工都没闹你在这叨逼叨逼个什么
用户p5hd3yo1as,4087875148058185,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,iPhone 6s,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:你到底懂不懂，你都说你妈在超市做促销员了？那根本不是超市的正式职工，那是厂家的促销员？
Tracy-YuL,4087875136460722,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,iPhone SE,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:真是，以前也没中国乐天照样养活了十几亿人
罗刹鬼婆7998,4087875132263073,-,-,三星GALAXY A,"我敬你是条棒子<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em;height:1em;;""></span>好走不送"
hyx1234561688,4087875110642961,嗯哼服不服,"回复<a href='http://m.weibo.cn/n/hyx1234561688'>@hyx1234561688</a>:美国狗你好！又见面了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>前两天休班了吗？居然没出来喷<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",三星GALAXY Note 4,"回复<a href='http://m.weibo.cn/n/嗯哼服不服'>@嗯哼服不服</a>:你好，没时间喷啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chanzui-ad3f4f182c.png"" style=""width:1em;height:1em;;""></span>"
月落满天星,4087875068353006,-,-,荣耀手机 勇敢做自己,啥也不说，支持国货！
芥末酱酱酱,4087875064776243,小镸聿,回复<a href='http://m.weibo.cn/n/芥末酱酱酱'>@芥末酱酱酱</a>:对啊，得先抵制蠢货，找美国说理的不是我们，是你。一切的导火索又不是我们中国人，我们中国地大物博的，没有工作岗位了？你是被下岗了？你知道乐天的中国员工又喜欢在挣中国人钱再打中国的企业下工作？,iPhone 6s,回复<a href='http://m.weibo.cn/n/小镸聿'>@小镸聿</a>:亚洲最大疯人院 天天抵制这抵制那的等别的国家都撤了资 你再说风凉话也不迟！btw去年日本已经大面积抓紧撤离了！！我虽然没下岗，而且生活也还无忧，留学美帝6年教会我 如果你不为这些弱小发声，那么总有一天，火会烧到你自己身上！！请你认清谁是蠢货，谁在苟且！
清颜feng,4087875051807833,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,金立M5 Plus,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:下岗就下岗，也要做一个有骨气的中国人！
谈杰god,4087874888954589,Pilot舒克,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:何不食肉糜？工作还不好找？你妈辛苦投简历面试拍人马屁你心疼过她么？,iPhone 6,回复<a href='http://m.weibo.cn/n/Pilot舒克'>@Pilot舒克</a>:你是想表达我们不抵制了，继续欢迎乐天？
嗯哼服不服,4087874880446822,hyx1234561688,跟流氓是没法做生意的,华为平板M2·揽阅,"回复<a href='http://m.weibo.cn/n/hyx1234561688'>@hyx1234561688</a>:美国狗你好！又见面了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>前两天休班了吗？居然没出来喷<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>"
遇见到错过一秒而已,4087874880148782,-,-,iPhone 7 Plus,每天都有失业的人，没了这份可以找其他的，如果因为这些都要国家安抚，那国家就干脆不做事了，想想全国就99家乐天，关了又怎样，其他超市很多，沃尔玛，好又多，家乐福……国家国家有国才有家
一穗灯花茶烟透碧纱,4087874880145236,或会在旁,67家都有消防问题？咱们的消防主管部门平时在干嘛呢？,OPPO R9s,回复<a href='http://m.weibo.cn/n/或会在旁'>@或会在旁</a>:你这智商该告别网络了
orz卑鄙的我,4087874879780260,羞涩的起哄架秧子星人,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",iPhone客户端,"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你们可以移民啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
Mango你要不要,4087874800838903,说个晚安,你们有没有发现微博的赞变成蓝色了,OPPO R9,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:智障
汐总de杂工,4087874799869108,-,-,小米Max,活tm该
l日古攵离,4087874796366425,-,-,前置双摄vivo X9,犯我中华者虽远必诛
葉先生老是发呆,4087874791796878,-,-,小米手机,不简单啊不简单，这阵子各种群魔乱舞啊，什么评论都出来了，你们背后老板发的工资都到账了
TST活酵母小马,4087874749771203,-,-,iPhone 6 Plus,中国超市多了，不差他们这几家
宋轶小公主,4087874738149598,-,-,iPad客户端,国家都没了 下岗你几巴
羽天小二,4087874603886925,说个晚安,你们有没有发现微博的赞变成蓝色了,360手机N4全网通,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:果断试了给另一楼点了一个赞
别来无恙FML,4087874543969654,-,-,iPhone 6 Plus,看着评论都烦死了，说自己的祖国好就是无脑小红粉，等到做亡国奴的时候，看看这些喷子是怎么当汉奸的吧，堂堂大中国离了乐天怎么就无处就业了，我们就是借口关他的超市了，我们就流氓了，怎么了……那么多年的屈辱历史怎么吃了两天饱饭就忘了
单敏慧,4087874506214380,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,荣耀6,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:恩用你的键盘去拯救她们！
锁骨与深海鱼,4087874506214159,-,-,持久到离谱 魅蓝Note5,这评论里的都是些什么玩意？司马玩意？ 
鬼神85293,4087874497824303,羞涩的起哄架秧子星人,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",荣耀3C 4G版,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:对这种人无语。。
闷一锤,4087874418117687,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,又轻又薄的小米5c,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:说得好，再有点国际矛盾把家乐福也关了吧，本来也是法国的，应该让中国本土的超市起来，价格高高的，品质低低的，没有竞争，爱国垄断一切。
伦伦家的小花,4087874301162577,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,告别不快vivo V3,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:没了乐天，中国人还吃不上饭了不成
SuperGerr,4087874275947119,-,-,iPhone 6,干得漂亮
我爱喝酸奶Tianna,4087874238554260,说个晚安,你们有没有发现微博的赞变成蓝色了,iPhone 6 Plus,"回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:我在楼上的点赞试了一下 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-7430606cb7.png"" style=""width:1em;height:1em;;""></span>"
苏格拉底的脑子,4087874082776094,穿啥裤子都往下掉,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,金立智能手机,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:嗯，巧了，不你吗？
姓感少年刘温柔,4087874007265017,-,-,iPhone 6s,停业继续支付员工的工资，这点上做的还可以 不是吗？
花开花谢皆风景也,4087873990702009,-,-,iPhone 6s Plus,人家乐天有骨气，为了自己的国家。
穷到昏厥的齐霸霸,4087873965314941,-,-,荣耀7 世界有点不同,失业的……你当别的超市是死的?
美妮诗人,4087873902388679,仲浅,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:超市就促销？大大小小的供货商，中层高管财会出纳你都给找一个呗。事不落自己身上永远不知有多大影响。顺便，你凭什么代表你妈？你妈未必这么想,iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/仲浅'>@仲浅</a>:你别是个傻子吧？？
NONA_LILY,4087873902388651,-,-,华为Ascend Mate7,看着这些评论才明白为什么当初抗日要8年，自私自利的人太多，汉奸太多
西铁城玫瑰,4087873889803715,大兮兮啊大兮兮,回复<a href='http://m.weibo.cn/n/西铁城玫瑰'>@西铁城玫瑰</a>:说实话，不觉得政府有这个责任安置，天天倒闭的企业多了，下岗员工也多了，难道都让国家安置？,iPhone 6,回复<a href='http://m.weibo.cn/n/大兮兮啊大兮兮'>@大兮兮啊大兮兮</a>:这是政府的责任和义务，所谓为人民服务，如果连安居乐业都办不到，怎么社会主义？当然了还是那句话，不是保姆式，是国家要促进经济发展。少炒房，多实业，就业岗位自然会多。
不在场1,4087873844453015,-,-,iPad客户端,总之，抵制萨德可以，抵制乐天大错特错，不利于吸引外资，受伤害的还是中国自己
啥么鬼,4087873819627910,-,-,iPhone客户端,这是自杀了？
_夏1个冬季,4087873811218594,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,红米Note 3,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:不明白哪来的那么多赞
穿啥裤子都往下掉,4087873769031387,哐哐彼尔德,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:看到都是骂你的我就放心了。,iPhone 6,回复<a href='http://m.weibo.cn/n/哐哐彼尔德'>@哐哐彼尔德</a>:你死全家
静姝琪颜2409171791,4087873735062106,-,-,OPPO R9,哟哟哟
你是猪你全家是猪,4087873722923344,-,-,小米Note,这些员工谁养！？
S1H1E1N,4087873688638873,-,-,iPhone 6s,折合人民币也就七亿。说明力度还不够啊。再来啊
萌萌嘞x,4087873681153644,-,-,三星GALAXY A,"抵制乐天 抵制韩货 保卫国家 人人有责 <span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>"
AT_糊糊,4087873680699565,-,-,OPPO R9 Plus,做得好
菁杨芝,4087873676947150,-,-,iPhone 6,有时候在想，政府想整倒一个企业居然不费吹灰之力，几天之内就能查出一大批安全隐患，依法治国和维护主权，到底哪个更重要呢，如果政府想要抓贪官，能不能有同样的行动力呢，深深感到人民专政的可怕
薛定唠的猫,4087873613890329,-,-,iPhone 7 Plus,"国泰民安<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span> "
不想想想想想他,4087873613744277,-,-,柔光自拍vivo X7,讲真，我们这边乐天本来就开不下去了，超市都没人去
半梦半醒間5,4087873613465878,不卖达尼洛我就不改名,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:东莞扫黄，你见哪个妓女饿死了？,小米手机4c,"回复<a href='http://m.weibo.cn/n/不卖达尼洛我就不改名'>@不卖达尼洛我就不改名</a>:这个比喻给满分<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>"
别来无恙FML,4087873550003907,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,iPhone 6 Plus,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:说的真好，希望楼主能一直幸福，希望妈妈身体健康
哐哐彼尔德,4087873542671050,穿啥裤子都往下掉,真是一帮蠢货，乐天关门你们高兴，那关门之后的中国员工呢？你们掏钱负责安顿吗？,告别不快vivo V3Max,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:看到都是骂你的我就放心了。
NONA_LILY,4087873499662745,羞涩的起哄架秧子星人,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",华为Ascend Mate7,回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:你直接去韩国打工吧，你不适合在祖国呆着
Baby-Gisele,4087873391282740,-,-,iPhone 6,我家这都没有过乐天超市，也没看见有人饿死。
MERRY_H丶,4087873382201400,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,Android,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:很多卖场都招人啊
小申吃橙子,4087873336777827,TONY3093-李诚涌,"回复<a href='http://m.weibo.cn/n/小申吃橙子'>@小申吃橙子</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>呵呵，爷就爱看您们这帮垃圾演蹩脚戏，四流演员只配做脱衣舞星，爷就爱看您们脱了衣物露出一副干瘪的身板还充当有“肌肉”，安好。问好。",iPhone 6,"回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:啧啧啧，嘴里说着爷，现实是只狗，没救<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
_夏1个冬季,4087873269427507,猫巷里的树语,希望政府能安顿中国员工吧。。,红米Note 3,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:我也不明白为什么叫国家安排工作，那其他公司倒闭是不是都要国家安排工作？没工作了可以重新找呀，谁失业不都是自己找工作。
月牙湾6888,4087873240029514,说个晚安,你们有没有发现微博的赞变成蓝色了,iPhone 6s Plus,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:你是色盲，鉴定完毕。
博博有内涵_1,4087873147587877,说个晚安,你们有没有发现微博的赞变成蓝色了,持久到离谱 魅蓝Note5,回复<a href='http://m.weibo.cn/n/说个晚安'>@说个晚安</a>:骗子
走乂氵翰氵青,4087873047506061,-,-,魅族轻巧旗舰 PRO 6,"喷子们的意思就是:我不管，我啥也不会好不容易找个超市的工作，国家怎么样我无所谓，快点给我找工作！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>有手有脚的你怕啥？谁让你自己不好好读书？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
你山大王,4087873030203148,-,-,柔光自拍vivo X7,who tm cares
一穗灯花茶烟透碧纱,4087872979779358,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,OPPO R9s,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:鼠目寸光
Namronz,4087872968052932,黄太子老师,回复<a href='http://m.weibo.cn/n/Namronz'>@Namronz</a>:真是爱国鸡贼,Weibo.intl,回复<a href='http://m.weibo.cn/n/黄太子老师'>@黄太子老师</a>:爱国就是贼？你没钱买房有钱移民吗？移不了民又在中国受气，你憋屈不？还是个男的吗？屌丝
真心未必换来真心,4087872962971832,Kevin君格君格Durant,闹完之后，下岗的都是中国的员工,OPPO智能手机,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:地球上离开谁都照样转。
武警不是警,4087872941981004,十英寸的英雄,停业期间必须支付雇员工资这才是最重要的,OPPO智能手机,回复<a href='http://m.weibo.cn/n/十英寸的英雄'>@十英寸的英雄</a>:此举太绝！！！！
讨厌这是我的小鱼干,4087872929612362,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,魅族 MX6 遇见好照片,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:同感啊！没了乐天就不能活?
柚子家的柚子酱,4087872887590533,-,-,OPPO R9,"刚刚看微博，韩国旅行社不在往中国发团啦，（大概这个意思），去年正常来7000人，现在只有2000人来，在我看来，你来不来，对我们好像完全没有什么影响呀，还禁中国东西，你们多少人，我们多少，不欺负你还嘚瑟开了，真是贱骨头<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-f5765407f7.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-f5765407f7.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-f5765407f7.png"" style=""width:1em;height:1em;;""></span>"
十万嬉皮EF,4087872737383591,薰依泪之紫薰,"回复<a href='http://m.weibo.cn/n/十万嬉皮EF'>@十万嬉皮EF</a>:这话说的好切实际啊，那做难民容易吗？失业和做难民你选一个呗<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",乐1s,回复<a href='http://m.weibo.cn/n/薰依泪之紫薰'>@薰依泪之紫薰</a>:不抵制乐天  你就会成难民吗？国家就会亡吗？ 国家有那么脆弱吗？ 难道抵制乐天就是反对萨德就是唯一办法？你怎么不连美国的商品超市一块抵制呢？看待问题就不能想的深点吗？
一穗灯花茶烟透碧纱,4087872669608064,猫巷里的树语,希望政府能安顿中国员工吧。。,OPPO R9s,"回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:你公司倒闭了，你还要求你老板给你找好下份工作？鼠目寸光的玩意<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_landelini-bc8d668f14.png"" style=""width:1em;height:1em;;""></span>"
薄荷糖咖啡豆,4087872635984328,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,iPhone 7 Plus,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:全中国没工作的多了去了，再找呗。就因为在乐天干过以后就找不到了？
不关你的鸟事,4087872628365449,maliry98,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……,Android,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:乐天滚出中国
宋田田田田田田田,4087872628360355,-,-,OPPO R7s,卧槽，真是够了，什么jb玩应。咋的乐天倒了中国就没别的地方就业了啊。脑残。
走乂氵翰氵青,4087872560349620,杨梵希全国总代,失业的中国人可以再找工作，远比韩狗赚着中国人的钱，买着萨德对准中国要强的多，那些员工的工资影响的了韩国花钱整萨德对准中国吗？但一天1千多亿韩元损失是个小小的打击吧！个人意见，喷子狗千万别点我回复我！,魅族轻巧旗舰 PRO 6,"回复<a href='http://m.weibo.cn/n/杨梵希全国总代'>@杨梵希全国总代</a>:<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>怕找不到工作的除了搬箱子就什么都不会了啊<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
挟天子以征四方,4087872379841538,穿啥裤子都往下掉,回复<a href='http://m.weibo.cn/n/挟天子以征四方'>@挟天子以征四方</a>:猪一般的智商就别说话了好吗，臭,HUAWEI G9 青春版,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:你还敢提智商呀！你这死不要脸的自信哪来的！
宋田田田田田田田,4087872321364914,margk,中国就是个几把国家,OPPO R7s,"回复<a href='http://m.weibo.cn/n/margk'>@margk</a>:点就来就是看别人怎么骂你的。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
HandyQaQ,4087872304552718,溪上漂流,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国,360 N4S骁龙版,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:这b是台湾的，故意挑拨离间的
