reply_name,name,text,source,comment_id,reply_text
-三-水-,nks_,回复<a href='http://m.weibo.cn/n/-三-水-'>@-三-水-</a>:哦 这个原因啊 乐天果然敞亮 不干了 哈哈,iPhone 7,4087661176804100,回复<a href='http://m.weibo.cn/n/nks_'>@nks_</a>:这种正在赚钱的商业业态因为政治原因被挤出去的，其他品牌排队等着进去呢，又不是经营不好被迫关门，有钱赚的地方大家争都来不及，至于员工，现在最难找的就是这种员工，一下子接盘，接盘企业都得高兴死，根本不用担心。
-,孤独的狼群王,自作自受,荣耀8 美得与众不同,4087661150383977,-
树璺璺公馆,吃貨胖的不见了,回复<a href='http://m.weibo.cn/n/树璺璺公馆'>@树璺璺公馆</a>:还真是操碎了心，真这么操心，去帮帮他们吧，你看人家需要你帮助吗？这条微博也说了，继续支付雇员工资，麻烦看清楚，以及签订合同的话，还要赔偿违约金，这可不是一笔小数目，别一弄就小粉红小粉红的，沃尔玛、家乐福、永辉等等这些超市长年都招聘的，怎么，走了乐天要你们这些人的命了？,iPhone 7 Plus,4087661121021117,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:安顿个鸡巴，谁他妈的安顿。操他妈的小粉红
大婷婷爱臭美,sy20101007,<a href='http://m.weibo.cn/n/大婷婷爱臭美'>@大婷婷爱臭美</a>,Weico.iPhone,4087661118008196,-
-,Besttyy,是的嘛 快点关了,华为麦芒5,4087661101205934,-
-,红蓝璞玉,键盘侠们，失业的中国人你们快快去拯救吧，然后在家等着吃美帝的导弹套餐,乐1s,4087661100784334,-
Kevin君格君格Durant,城有佳木,"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:全国就这一份工作？你就不会换一下？<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",柔光自拍vivo X7,4087661070684687,闹完之后，下岗的都是中国的员工
-,FreeXMJ,还是川普王吊炸天,三星GALAXY A,4087661021280151,-
TONY3093-李诚涌,Vivian-天边,回复<a href='http://m.weibo.cn/n/TONY3093-李诚涌'>@TONY3093-李诚涌</a>:怎么不仁了？乐天之前对中国做什么了？没有因果吗？你还在这里像会点什么是的好，不好的，你脑子可好？,iPhone 6 Plus,4087660932531360,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_weixiao-596608a586.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>雇员都是本土的，人家在停业期间还要支付雇员薪资，活脱脱一幕，您不仁我还有义，安好。问好。"
穿啥裤子都往下掉,超67944,🙃//<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。,Android客户端,4087660924461187,-
段氏家族168,nks_,回复<a href='http://m.weibo.cn/n/段氏家族168'>@段氏家族168</a>:滚犊子,iPhone 7,4087660912092104,回复<a href='http://m.weibo.cn/n/nks_'>@nks_</a>:sB
梦里依稀见花开,nks_,回复<a href='http://m.weibo.cn/n/梦里依稀见花开'>@梦里依稀见花开</a>:国家管嘛,iPhone 7,4087660887276917,回复<a href='http://m.weibo.cn/n/nks_'>@nks_</a>:国家利益前，个人可以做一点牺牲
-,L-O-V-E小爱,山东济南市张马屯村民越拆越穷,小米5s 拍照黑科技,4087660861487996,-
-,冬桑雨,"最重要的是最后一句:它即使关门，照样得支付员工工资！拿完工资，出去再找工作！！有手有脚，都不会饿死！总比炮弹打来炸死强<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span>",荣耀7 世界有点不同,4087660860950002,-
-干什么吃的,nks_,回复<a href='http://m.weibo.cn/n/-干什么吃的'>@-干什么吃的</a>:伪,iPhone 7,4087660802971284,回复<a href='http://m.weibo.cn/n/nks_'>@nks_</a>:宛如智障一般存在
Kevin君格君格Durant,邪恶的羊美美,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:说的好像没有乐天中国就不转了一样😂,华为P9手机摄影再突破,4087660790566132,闹完之后，下岗的都是中国的员工
穿啥裤子都往下掉,苒慕,"回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:于是我发现了你<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",Android,4087660781979374,萨德是目前世界上最厉害的武器。因为它不仅仅可以发现导弹，还可以发现SB。
-,河边有只靓羊,麻烦键盘侠把你们说的受影响家庭列出来 你有调查过他们受什么影响了嘛,iPhone 6s,4087660777458238,-
猫巷里的树语,超67944,呵呵呵呵//<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:希望政府能安顿中国员工吧。。,Android客户端,4087660765186410,-
-,你的眼睛是我此生不会再遇的海,"我就说一句 有国才有家 其他的你们随意<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",🌟iPhone 6,4087660731600107,-
-,目的地劳动换食宿,反对乐天，不进乐天！,微博 weibo.com,4087660723202964,-
Pilot舒克,MaYuD0ng,回复<a href='http://m.weibo.cn/n/Pilot舒克'>@Pilot舒克</a>:真服你，你狗眼睁大点,iPhone客户端,4087660694363920,回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:何不食肉糜？工作还不好找？你妈辛苦投简历面试拍人马屁你心疼过她么？
竹生青宁,妖妖的金色裙摆,回复<a href='http://m.weibo.cn/n/竹生青宁'>@竹生青宁</a>:巧了清朝亡国前也是这么说的,vivo X5Pro,4087660647282536,回复<a href='http://m.weibo.cn/n/V妙V笑'>@V妙V笑</a>:不折腾乐天就没有国了？你国真脆弱，我国可不应该是这样。
超级无敌徐漂亮,陆二13,回复<a href='http://m.weibo.cn/n/超级无敌徐漂亮'>@超级无敌徐漂亮</a>:不急啦，那些都是拿钱黑国家的。有钱过得好的，没钱但是有志气的，但凡理智的谁会没事在微博上喷这喷那的啊。整天埋怨祖国的也就啊loser而已，跟loser着急什么呢，他们这辈子也就这样了。,前置双摄vivo X9,4087660634718347,"太悲哀了，为什么有这么多人避重就轻抓住眼前的失业不放，却忽略了主要矛盾？大家是被谁操控了头脑啊。。我们的国家就这么不可爱吗？醒醒吧亲们，急得我好想哭<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png"" style=""width:1em;height:1em;;""></span>"
Redom__,冷心冷脸冷语wmspig,回复<a href='http://m.weibo.cn/n/Redom__'>@Redom__</a>:你应该这话先去问问朝鲜三胖子好吧！你多读真实有用的书！李幺默的书你多看看！,Android客户端,4087660634717131,回复<a href='http://m.weibo.cn/n/冷心冷脸冷语wmspig'>@冷心冷脸冷语wmspig</a>:人家要是打到你家门口了你还会想着那点税收吗，祖国如果没有一个和平安定的环境，哪来我们幸福的家
吃太多了最近,nks_,回复<a href='http://m.weibo.cn/n/吃太多了最近'>@吃太多了最近</a>:很清楚,iPhone 7,4087660630504045,回复<a href='http://m.weibo.cn/n/nks_'>@nks_</a>:看清题目再答题啊
温斯顿的花园,Vivian-天边,回复<a href='http://m.weibo.cn/n/温斯顿的花园'>@温斯顿的花园</a>:给你多少钱来这里秀你无耻的下限？,iPhone 6 Plus,4087660627166950,毛左意识形态主导下，忽悠义和团小粉红们摒弃理性与向善，释放出人性中的邪恶与仇恨，然后绑架利用小平路线改革开放30年积累的庞大经济体量和国际外交关系，破坏市场经济公平法治，进而施展毛左们的“反美仇日扶朝压韩灭台骗越买菲” 大战略。。朝思暮想“干死美国”做山大王，结果。。害死中国！
-,生来多虑,乐天的工作没了，再换家超市就是了,iPhone 6 Plus,4087660622114712,-
-,红蓝璞玉,哪都有sb，么乐其他超市不开了，就找不到工作了，国家安全高于一切！那些伪君子嘴夹紧,乐1s,4087660567583626,-
溪上漂流,Geraldineee,"回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:我觉得你是间谍，汉奸不是你这个智商可以当的<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",三星android智能手机,4087660564434987,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国
-,睿体育,能不能告诉我 乐天在哪里。。。,iPhone,4087660550804816,-
-,华尔街巨亨,相对于国家安危，个人利益又算什么！无数的革命前辈用鲜血和头颅告诉我们，国家利益高于一切！,红米Note 3,4087660530024089,-
-,贫僧化个师太来,"真的有水军啊，这评论。。看着就像群众智商被拉低了。。。<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>乐天我都没机会抵制。。因为我在几个城市都没见到过乐天这个超市，它关了能有什么严重影响。。何况他还得按劳动法给员工付工资。。这笔没有工作就得到的报酬应该可以稍微抵一下换工作的损失了啊",OPPO R7s,4087660504837666,-
maliry98,L的幻想世界,"回复<a href='http://m.weibo.cn/n/maliry98'>@maliry98</a>:就被最后一句暖到了<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em;height:1em;;""></span>",三星 GALAXY S6,4087660484172988,我妈以前就做超市的促销……关了一家又开一家？咋的？没了乐天这些人就下岗了？失业了？我觉得是有些人夸大其词了……全国就99家乐天……我们家的小城区一年能关两家超市，日子照样过，我妈照样换着上班找工作……日子苦点，累点……我还是长大了，我妈也到时间休息享福了……
我不善良但漂亮吖,shityresy,"回复<a href='http://m.weibo.cn/n/我不善良但漂亮吖'>@我不善良但漂亮吖</a>:看到之前的评论都觉得那些人把自己的不满宣泄出来在别人身上，这里还是和谐的<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f9c28c70ef.png"" style=""width:1em;height:1em;;""></span>",OPPO R9,4087660479976197,"有些评论真搞笑，因为这几个超市关闭而下岗的员工不过几百人，中国那么大市场，只要是个想找工作的人不至于会找不到一个相同待遇的工作。而这给乐天带来的损失有多大，可能你们是知道得比我清楚所以才在这儿毫无逻辑的洗地吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>"
Kevin君格君格Durant,colorlillian,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:怎么着？说的好像没了乐天就找不到工作了似的！,三星 GALAXY S5,4087660475776175,闹完之后，下岗的都是中国的员工
-,急速蜗牛866,评论中一群圣母婊，拿着员工下岗来说事，国家利益在你面前什么都不是了？没有国估计你连打工的机会都没有了,柔光自拍vivo X7Plus,4087660463284485,-
-,谁密逃,难怪最近外资在撤退。 祖国这么流氓我就放心了,Weibo.intl,4087660437993125,-
-,风里孜然味,矛盾不可怕，但是不要,小米手机4c,4087660371159304,-
-,灬小球藻灬,你特么以为供货商就给他一家供货，逗逼,微博 weibo.com,4087660357848190,-
-,就得这么耀眼_,"7.1908亿人民币<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em;height:1em;;""></span> <a href=""http://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Ft.cn%2FR6ydkpt"">http://t.cn/R6ydkpt</a>",OPPO Find 7,4087660315901413,-
Kevin君格君格Durant,夜班之神伊伊,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:没国哪有家,三星 GALAXY Note 5,4087660286849936,闹完之后，下岗的都是中国的员工
-,天生骄傲CEO,一个国家这样搞一个企业，确实有些流氓，撒德还没抵制成功，倒是先在自己的国际形象搞臭了，真不知道这步走的对不对了,魅蓝 Max,4087660244795185,-
猫巷里的树语,愚忠于心,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:脑子是个好东西。,iPhone 6s Plus,4087660240921756,希望政府能安顿中国员工吧。。
Kevin君格君格Durant,ifonly0106,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:鼠目寸光,iPhone 6s,4087660240599656,闹完之后，下岗的都是中国的员工
风无影134521,浣花女伶,回复<a href='http://m.weibo.cn/n/风无影134521'>@风无影134521</a>:有能力还会找不到工作？,前置双摄vivo X9,4087660240597912,没人管下岗职工的死活，他们只管&quot;爱国&quot;
溪上漂流,esun123,回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:小粉红反驳论点有，你滚出我国啊，你是汉奸，我爱国我干什么都合理，我国利息受损了我当然要耍流氓！其实上面的话，套在朝 鲜一样顶用！,iPhone 6,4087660236725114,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国
-,FreLoo,说下岗的那些人，真想问一句脑子呢？电商兴起的时候，全国各地大多数商铺关门了，也没见你出来说啊。其二人是活的，OK  大多数人又会找到工作的。其三 国家安全方面，全国的人下岗了，也要保住国家，犹如大海里没水了，你还跟我谈 你的食物链变少了。,iPhone 7 Plus,4087660227812897,-
-,匡威正品下线代购,想要时尚的点鸡我,iPhone 6,4087660190920258,-
溪上漂流,shityresy,"回复<a href='http://m.weibo.cn/n/溪上漂流'>@溪上漂流</a>:没文化真可怕<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em;height:1em;;""></span>",OPPO R9,4087660140160022,粉红蛆如愿以偿，然而它主子早已改变了态度，最近各种巴结美国
猫巷里的树语,Jim_Chan72,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:政府才不会理那些失业的员工，政府发补贴给他们？还是介绍给其他超市？,iPhone 7,4087660139838793,希望政府能安顿中国员工吧。。
猫巷里的树语,吃貨胖的不见了,"回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:评论里这些，我们中国可能就乐天一家超市了吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>",iPhone 7 Plus,4087660102053537,希望政府能安顿中国员工吧。。
Kevin君格君格Durant,為何甜夢每朝驚破,"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:我们中国就只有乐天超市吗<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span>那可能我知道的其他的都是假的？",iPhone 6 Plus,4087660068728546,闹完之后，下岗的都是中国的员工
女娲面具-珍重,Thinking1015,"回复<a href='http://m.weibo.cn/n/女娲面具-珍重'>@女娲面具-珍重</a>:蒂尼蒂娜平均觉悟高<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haixiu-d0db32fd6f.png"" style=""width:1em;height:1em;;""></span>",iPhone 7,4087660060995533,回复<a href='http://m.weibo.cn/n/穿啥裤子都往下掉'>@穿啥裤子都往下掉</a>:<a href='http://m.weibo.cn/n/Thinking1015'>@Thinking1015</a> 还是个蒂尼
A__Gray,温斯顿的花园,回复<a href='http://m.weibo.cn/n/A__Gray'>@A__Gray</a>:孩子！这里是伟大的中国。。而不是龌龊恐怖的朝鲜。。。不要再以“举报”为荣了。。,红米3S,4087660035201421,回复<a href='http://m.weibo.cn/n/温斯顿的花园'>@温斯顿的花园</a>:到哪儿都能看到你个SB，举报都没用，微博是死的。
羞涩的起哄架秧子星人,晴天quickly,"回复<a href='http://m.weibo.cn/n/羞涩的起哄架秧子星人'>@羞涩的起哄架秧子星人</a>:我他妈都不知道怎么骂你，不过你愿意的话你还是可以带着你的一家老小去韩国乐天工作吧，我想他们应该很乐意接受你这种<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em;height:1em;;""></span><a href='http://m.weibo.cn/n/蜉蝣如梦'>@蜉蝣如梦</a>",Android,4087660031258437,"算过有多少人失业么？影响多少下游供货商？直接或间接影响多少家庭么？国家面前不就业<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>"
-,vinak,"一口一个粉红的，你们都是智障嘛<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_miao-9ebe15b2c2.png"" style=""width:1em;height:1em;;""></span><span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-3725445c33.png"" style=""width:1em;height:1em;;""></span> ",唯一家的Android,4087660030942650,-
贾欣文,傻不拉几的胖,回复<a href='http://m.weibo.cn/n/贾欣文'>@贾欣文</a>:你是说韩企是砖？没有韩企中国人就没工作了？市场在，中国也有自己的超市也可以创建新的岗位！,iPhone 5s,4087660013883239,回复<a href='http://m.weibo.cn/n/独自行走胖胖'>@独自行走胖胖</a>:想什么，再怎么想，&quot;没有墙哪有砖&quot;这句话也是说不通的?
摄影大师未遂duang,Echo翟小翟,回复<a href='http://m.weibo.cn/n/摄影大师未遂duang'>@摄影大师未遂duang</a>:没有超市，没有便利店，这周围老百姓的钱没人去赚？？？,HUAWEI Mate 8,4087660006403093,回复<a href='http://m.weibo.cn/n/猫巷里的树语'>@猫巷里的树语</a>:评论里好像有很多人什么都懂啊，他们是怎么如此确定一定会有其他超市入住呢？哦，，明白了因为他们不是乐天员工。
风无影134521,Vivian-天边,回复<a href='http://m.weibo.cn/n/风无影134521'>@风无影134521</a>:我只想问问你们这些不要脸的到底收了多少钱？可以来微博秀你们无耻的下线。恶心死我了。,iPhone 6 Plus,4087659946768189,没人管下岗职工的死活，他们只管&quot;爱国&quot;
Kevin君格君格Durant,栾哥哥xixi,回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:这话说的感觉好像中国人还要靠韩国乐天一样,微博 weibo.com,4087659943330057,闹完之后，下岗的都是中国的员工
Kevin君格君格Durant,苏暖的心情是暖色,"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:我奶奶说，毛主席死了地球都照样转呢<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>",OPPO智能手机,4087659925977005,闹完之后，下岗的都是中国的员工
-,Sum_q,你们那些觉得下岗就不该关门的。难道给韩国鬼打工比在国企上班赚得多 赚得开心吗？ 难道一个乐天关门了 整个中国的工人就全部下岗了？ 你做的好哪不要你 偷奸耍滑你以为乐天能供着你？ 拜托乐天员工要求可以某些国家超市要求高吧,iPhone 6 Plus,4087659888042429,-
Kevin君格君格Durant,-Mmmmmm豆-,"回复<a href='http://m.weibo.cn/n/Kevin君格君格Durant'>@Kevin君格君格Durant</a>:说可以去别家超市的，现在是只抵制乐天吗？感觉整个韩国的东西都在抵制吧<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em;height:1em;;""></span>生意不好了以后有多少人你能安顿的过来",iPhone 6s,4087659871922622,闹完之后，下岗的都是中国的员工
